"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"1",16,3,1,5,33,2,1,3,7,2,8,4,7,3,3,1,1,5,1,4,1,1,1,2,1,1,1,4,3,2,5,5,6,0,5,2
"2",12,3,2,5,19,0,1,1,3,1,1,1,2,4,7,2,4,2,2,3,1,1,1,1,2,3,2,2,1,3,3,5,6,8,0,5
"3",5,2,5,2,68,1,2,7,0,4,1,2,2,5,2,1,5,2,1,5,1,1,1,1,3,4,2,5,2,4,5,5,3,3,5,1
"4",19,3,1,1,31,1,2,4,2,4,3,3,5,3,4,1,2,3,1,2,1,1,1,1,1,1,2,4,1,1,4,4,6,5,4,1
"5",16,3,1,1,51,2,2,4,5,2,2,5,5,4,5,1,1,6,1,3,1,1,1,2,2,2,2,5,3,3,5,3,5,1,5,4
"6",12,2,3,1,48,1,1,4,3,2,1,5,5,6,6,1,1,5,1,3,2,2,2,2,1,5,1,5,1,1,5,5,6,3,3,1
"7",18,3,3,1,55,2,2,4,5,1,1,4,6,5,7,2,3,3,3,5,2,2,3,3,3,4,3,5,5,1,4,4,6,0,5,1
"8",18,2,1,5,61,0,2,7,0,4,1,2,6,5,7,1,1,5,2,4,2,2,4,2,1,2,2,1,1,1,5,4,1,5,1,1
"9",12,2,1,5,26,0,1,7,0,4,1,5,1,3,6,1,3,6,1,1,2,3,3,4,2,4,3,1,1,1,3,2,6,5,5,1
"10",17,3,1,1,71,2,2,4,5,3,2,3,7,2,3,4,5,4,3,5,3,3,2,3,3,3,3,5,3,3,4,4,6,0,5,1
"11",18,2,1,1,61,0,2,2,5,2,4,4,6,4,5,1,1,6,1,3,2,2,1,3,2,3,1,4,1,2,3,4,6,5,6,1
"12",16,3,1,5,24,0,2,4,1,4,1,6,2,2,2,1,1,2,1,1,1,1,1,2,2,3,1,4,1,2,5,5,6,3,6,1
"13",16,4,1,5,26,0,1,1,7,2,5,5,7,2,2,1,1,4,1,1,1,1,2,1,1,1,1,4,2,2,5,2,6,3,6,4
"14",17,3,4,1,49,2,2,4,0,3,1,3,5,5,6,1,5,1,1,1,1,1,3,1,1,1,1,5,1,1,4,2,6,6,4,6
"15",12,2,1,5,54,4,1,3,8,3,2,2,5,5,5,1,1,2,1,3,1,1,1,2,3,3,1,3,3,2,3,4,5,4,5,2
"16",13,3,2,5,56,1,1,6,8,1,6,5,1,1,1,1,1,6,1,1,1,1,3,1,1,1,1,5,1,1,5,3,4,0,5,2
"17",16,3,1,5,28,0,2,4,0,3,2,5,5,4,6,1,1,3,2,2,1,1,1,1,1,2,1,4,2,2,3,4,6,4,5,1
"18",16,3,4,5,46,0,2,7,2,4,4,5,2,4,3,1,1,4,2,2,1,1,2,1,2,1,1,5,3,1,5,4,3,1,4,1
"19",16,3,2,5,31,0,1,6,0,3,1,4,3,3,4,2,1,3,1,2,1,1,1,1,1,1,1,1,2,3,3,2,5,8,4,1
"20",3,1,7,1,74,5,2,4,8,1,10,2,2,3,7,1,5,5,1,1,3,3,1,3,1,2,1,5,2,2,4,3,6,0,5,2
"21",7,3,7,1,36,3,2,6,7,2,7,2,7,4,7,1,5,5,1,2,1,1,1,3,1,5,4,5,5,5,4,4,6,0,4,4
"22",12,3,5,5,55,1,2,4,2,1,7,3,5,4,7,2,3,5,3,3,2,2,1,2,1,3,3,3,3,3,5,5,6,0,9,2
"23",20,3,3,4,57,1,2,4,4,1,2,3,3,3,6,1,2,1,1,2,1,1,1,2,1,1,1,5,1,1,4,4,1,7,4,2
"24",18,3,1,1,60,0,1,4,0,2,1,6,7,7,7,2,1,6,1,1,2,1,1,2,2,2,2,5,1,3,4,1,1,5,0,6
"25",12,3,1,2,55,3,2,4,5,2,3,6,7,7,4,1,2,6,1,2,1,1,1,1,1,1,1,5,2,5,4,4,6,0,0,6
"26",14,2,2,5,34,2,2,3,2,3,2,5,7,5,6,1,1,6,1,4,1,1,1,1,1,3,1,5,1,1,5,4,5,0,4,2
"27",16,2,1,3,32,0,2,4,7,1,8,1,1,4,6,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,6
"28",13,1,6,4,43,4,2,4,3,2,5,1,6,4,5,4,4,4,2,4,1,1,1,2,1,2,2,4,3,5,4,4,6,5,7,2
"29",16,3,2,3,37,2,2,4,6,2,3,1,4,1,4,1,1,6,1,1,1,1,1,1,1,3,1,5,2,4,4,2,5,0,3,6
"30",20,2,1,5,55,1,1,1,5,1,3,6,3,4,6,1,1,6,1,3,1,2,3,3,3,5,1,5,2,2,3,4,6,0,1,2
"31",16,3,1,3,60,2,2,2,1,3,1,2,4,3,2,1,1,6,2,3,1,1,1,1,1,3,1,4,1,1,3,1,6,2,7,1
"32",16,3,4,1,53,2,1,7,1,4,2,5,5,5,5,2,2,5,2,2,2,2,1,3,3,4,1,5,3,2,3,2,6,5,3,1
"33",16,4,5,3,72,3,2,7,6,3,4,5,5,6,7,1,6,1,1,1,1,2,3,3,2,2,3,1,4,4,4,2,6,4,8,1
"34",12,3,5,1,71,3,2,4,3,3,3,3,3,3,5,3,2,3,2,3,2,2,2,3,3,3,3,5,3,2,5,5,6,5,5,1
"35",12,2,5,3,73,2,2,1,0,3,1,1,7,5,7,1,5,6,1,1,5,5,1,3,2,5,4,5,5,2,5,5,6,0,3,1
"36",20,3,2,1,65,2,2,2,1,3,2,1,5,5,5,2,2,2,2,3,1,1,1,2,1,4,1,3,2,2,4,3,5,5,5,1
"37",13,3,2,1,49,0,1,2,3,3,3,5,5,2,2,2,3,3,2,1,1,1,1,2,1,1,1,3,1,2,3,2,6,3,3,1
"38",18,4,5,1,70,1,1,4,2,3,2,3,5,3,4,1,5,6,1,4,1,1,2,1,2,3,1,5,3,1,4,4,4,5,8,1
"39",16,4,2,1,45,2,2,7,3,4,1,4,6,5,5,2,2,5,2,3,2,2,2,2,2,2,2,5,3,2,4,3,6,2,1,1
"40",16,3,2,1,52,4,2,4,5,2,4,5,6,5,6,1,1,6,1,1,1,1,2,3,1,2,1,5,3,1,3,3,6,1,3,1
"41",16,2,1,5,41,0,2,7,0,3,3,4,3,5,3,2,5,4,2,3,1,1,1,2,1,2,1,5,2,1,3,2,5,3,0,2
"42",12,2,5,5,65,0,2,7,0,4,1,2,5,4,6,2,5,6,1,3,2,2,2,3,2,4,1,4,5,2,5,3,2,2,4,1
"43",14,2,1,1,38,3,2,3,3,2,1,5,7,4,7,1,1,5,2,3,1,1,1,1,1,3,2,5,2,1,5,4,6,2,6,2
